chamber,district,name,party,israel_stance,confidence,rationale
assembly,116,Scott Gray,Republican,strongly_support,inferred,"Signed the October 2023 ""Stand with Israel"" letter and attended a press conference opposing the ""Not On Our Dime"" bill, calling it ""anti-Israel, anti-Semitic"" and ""highly offensive and discriminatory."""
assembly,117,Ken Blankenbush,Republican,support,inferred,"Republican assemblyman who cosponsored the ""Stop Anti-Semitism on College Campuses Act"" (A08284) in 2023, demonstrating alignment with pro-Israel positions through combating campus antisemitism."
assembly,118,Robert Smullen,Republican,strongly_support,inferred,"Condemned the Hamas attack as ""unprovoked and abhorrent"" and called Israel ""a peaceful partner in a large global alliance,"" expressing strong support for Israel's right to self-defense."
assembly,119,Marianne Buttenschon,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,120,William A. Barclay,Republican,support,inferred,"Former Assembly Minority Leader who stated he ""proudly stands with the people of Israel and the Jewish community"" and prayed for their safety during the Oct 7 anniversary commemoration."
assembly,121,Joe Angelino,Republican,support,inferred,"Republican assemblyman and retired Marine who cosponsored the ""Stop Anti-Semitism on College Campuses Act"" (A08284) in 2023, and as Assembly Minority Conference member participated in the conference's collective pro-Israel stance."
assembly,122,Brian D. Miller,Republican,support,inferred,"Republican assemblyman who cosponsored the ""Stop Anti-Semitism on College Campuses Act"" (A08284) in 2023, and as Assembly Minority Conference member participated in the conference's collective pro-Israel stance."
assembly,123,Donna A. Lupardo,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,124,Christopher S. Friend,Republican,support,inferred,"Republican assemblyman who cosponsored antisemitism legislation in the 2025 session including the Dismantling Student Antisemitism Act and Combating Campus Antisemitism Act, and participates in the Assembly Minority Conference's collective pro-Israel positions."
assembly,125,Dr. Anna R. Kelles,Democratic,support,inferred,"Ithaca-area Democrat whose actions were characterized as pro-Israel by pro-Palestinian groups, leading to canceled events due to protest threats. Appears to have taken legislative positions perceived as supportive of Israel."
assembly,126,John Lemondes,Republican,support,inferred,"Commended the Trump-brokered Gaza ceasefire and hostage release deal, indicating support for Israel's security and the return of Israeli hostages."
assembly,127,Al Stirpe,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,128,Pamela J. Hunter,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,129,William B. Magnarelli,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,130,Brian Manktelow,Republican,support,inferred,"Signed the October 2023 ""New York Legislators Stand with Israel"" letter expressing solidarity with Israel after the Hamas attack."
assembly,131,Jeff Gallahan,Republican,strongly_support,inferred,"Signed the October 2023 ""Stand with Israel"" letter and attended an April 2024 press conference in Albany calling for the release of hostages held by Hamas in Gaza, including two New York citizens."
assembly,132,Philip A. Palmesano,Republican,support,inferred,"Republican assemblyman who cosponsored antisemitism legislation in the 2025 session including the Dismantling Student Antisemitism Act and Combating Campus Antisemitism Act, and participates in the Assembly Minority Conference's collective pro-Israel positions."
assembly,133,Andrea K. Bailey,Republican,neutral,unknown,No public Israel-related statements found after web research
assembly,134,Josh Jensen,Republican,support,inferred,"Republican assemblyman who cosponsored the ""Stop Anti-Semitism on College Campuses Act"" (A08284) in 2023, demonstrating alignment with pro-Israel positions through combating campus antisemitism."
assembly,135,Jen Lunsford,Democratic,support,inferred,"Jewish assemblywoman with family in Israel who has publicly spoken against singling out Israel in divestment legislation, opposed an Israel-specific divestment bill, and expressed concern about bills that target Israel without including other countries with human rights issues."
assembly,136,Sarah Clark,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,137,Demond Meeks,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,138,Harry B. Bronson,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,139,Stephen Hawley,Republican,support,inferred,"Long-serving Republican rated among the Assembly's most conservative members (92% conservative ranking). While no explicit Israel statement was found, his party alignment and conservative profile strongly suggest support for Israel, consistent with near-universal Republican support for Israel in NY."
assembly,140,William Conrad,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,141,Crystal D. Peoples-Stokes,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,142,Patrick Burke,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,143,Patrick J. Chludzinski,Republican,neutral,unknown,No public Israel-related statements found after web research
assembly,144,Paul A. Bologna,Republican,neutral,unknown,No public Israel-related statements found after web research
assembly,145,Angelo J. Morinello,Republican,strongly_support,inferred,"Morinello signed the bipartisan ""NY Legislators Stand with Israel"" letter in October 2023, which strongly condemned the Hamas attack and pledged solidarity with Israel."
assembly,146,Karen McMahon,Democratic,support,inferred,"McMahon signed the bipartisan ""NY Legislators Stand with Israel"" letter in October 2023. As a Democrat signing the letter, this signals pro-Israel support though no additional statements were found."
assembly,147,David DiPietro,Republican,support,inferred,"Long-serving conservative Republican. The October 2023 ""NY Legislators Stand with Israel"" letter appeared in search results specifically when searching his name, suggesting association. His strong conservative record makes pro-Israel alignment highly likely."
assembly,148,Joe Sempolinski,Republican,support,inferred,"Republican who previously served as US Representative (NY-23, 2022-2023). As a former member of Congress, he would have been exposed to Israel-related votes. His Republican affiliation and congressional background strongly suggest pro-Israel positioning, though no explicit NY Assembly-level statement was found."
assembly,149,Jonathan Rivera,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,150,Andrew M. Molitor,Republican,neutral,unknown,No public Israel-related statements found after web research
city_council,1,Christopher Marte,Democratic,oppose,inferred,"Marte attended a 24-hour ceasefire vigil outside City Hall in February 2024 and has publicly supported a ceasefire in Gaza, aligning with the progressive pro-ceasefire bloc on the council."
city_council,2,Harvey Epstein,Democratic,oppose,inferred,"Epstein signed an open letter from Jewish elected officials in February 2024 that condemned Hamas but also stated they ""cannot support the actions of the current Israeli government,"" criticized mass destruction in Gaza, and called for a two-state solution and halt to civilian killings."
city_council,3,Vacant,,,,
city_council,4,Virginia Maloney,Democratic,support,inferred,"Represents Upper East Side (District 4), a district with a significant Jewish community. Daughter of former Congresswoman Carolyn Maloney, who had strong pro-Israel positions and deep Jewish community support. While Virginia Maloney's own explicit statements were not found, her district demographics and family political background suggest pro-Israel leanings."
city_council,5,Julie Menin,Democratic,strongly_support,inferred,"Menin is the first Jewish NYC Council Speaker, went on an Israel solidarity trip visiting Kibbutz Kfar Aza, marched in the Israel Day Parade, introduced the buffer zone bill to protect synagogues from protests, and has been a vocal advocate against antisemitism and pro-Palestinian demonstrations."
